SYMBOL HCC1954_BREAST
A1BG -0.1831
NAT2 -1.1852
ADA 0.252
CDH2 -0.1493
AKT3 0.3615
GAGE12F 0.5734
LOC100009676 -0.0913
MED6 -0.0324
NR2E3 -0.1519
NAALAD2 0.2835
SNORD116-1 0.3894
SNORD116-2 0.3894
SNORD116-3 0.3894
SNORD116-4 0.3894
SNORD116-5 0.3894
SNORD116-6 0.3894
SNORD116-7 0.3894
SNORD116-8 0.3894
SNORD116-9 0.3894
SNORD116-10 0.3894
SNORD116-11 0.3894
SNORD116-12 0.3894
SNORD116-13 0.3894
SNORD116-14 0.3894
SNORD116-15 0.3894
SNORD116-16 0.3894
SNORD116-17 0.3894
SNORD116-18 0.3894
SNORD116-20 0.3894
SNORD116-21 0.3894
SNORD116-22 0.3894
SNORD116-23 0.3894
SNORD116-24 0.3894
SNORD116-25 0.3894
SNORD115-2 0.3894
SNORD116-26 0.3894
SNORD116-27 0.3894
SNORD115-3 0.3894
SNORD115-4 0.3894
SNORD115-5 0.3894
SNORD115-6 0.3894
SNORD115-7 0.3894
SNORD115-8 0.3894
SNORD115-9 0.3894
SNORD115-10 0.3894
SNORD115-11 0.3894
SNORD115-12 0.3894
SNORD115-13 0.3894
SNORD115-14 0.3894
SNORD115-15 0.3894
SNORD115-16 0.3894
SNORD115-17 0.3894
SNORD115-18 0.3894
SNORD115-19 0.3894
SNORD115-20 0.3894
SNORD115-21 0.3894
SNORD115-22 0.3894
SNORD115-23 0.3894
SNORD115-25 0.3894
SNORD115-26 0.3894
SNORD115-29 0.3894
SNORD115-30 0.3894
SNORD115-31 0.3894
SNORD115-32 0.3894
SNORD115-33 0.3894
SNORD115-34 0.3894
SNORD115-35 0.3894
SNORD115-36 0.3894
SNORD115-37 0.3894
SNORD115-38 0.3894
SNORD115-39 0.3894
SNORD115-40 0.3894
SNORD115-41 0.3894
SNORD115-42 0.3894
SNORD115-43 0.3894
SNORD115-44 0.3894
MIR675 -0.4974
SNORD116-28 0.3894
SNORD116-29 0.3894
SNORD115-48 0.3894
SNORD115-24 0.3894
SNORD115-27 0.3894
SNORD115-28 0.3894
SNORD115-45 0.3894
SNORD115-47 0.3894
DDTL 0.6493
TLX1NB -0.4628
NAALADL1 0.2834
CDKN2B-AS1 -0.4006
GUSBP9 -0.378
SIGLEC14 -3.066
ACOT8 0.252
ABI1 -0.1522
GNPDA1 -0.0984
MIMT1 0.2005
KCNE3 0.2796
ZBTB33 -0.1435
SNHG8 -0.0577
LOC100093698 0.1358
CDH3 0.4385
TANK 0.1982
HAVCR1P1 -0.1703
POM121C 0.2015
ZSCAN30 -0.1235
PSIMCT-1 -0.0692
GAGE8 0.5734
ANKRD26P3 -0.1578
SRA1 -0.0984
SNORD119 0.8249
SNORD121A -0.4764
SNORD125 0.2597
SNORD19B -0.0985
SNORD105B -0.18
SNORD123 0.7055
SNORD121B -0.4764
UCKL1-AS1 0.2325
SNORD127 -0.0229
SNORD124 0.1955
SNORD126 0.4851
SNORD11B -1.1377
SNORD12B 0.252
SNORD111B 0.4385
LINC00577 -0.0351
LINC00583 1.5205
TMEM170B 0.2219
SNORD58C -0.5274
SCARNA27 0.2219
SNORA84 0.2071
SNORA36C -0.0722
SNORA38B 0.6714
SNORA70B -0.0722
SNORA70C 0.2211
SNORA11B -0.0409
SNORA11C 0.9157
LOC100124692 0.1687
HOTAIR -0.2576
ZGLP1 -0.18
FAM86JP -0.0718
FMR1-AS1 -0.1435
MIR298 1.4423
MIR300 -0.0445
VTRNA2-1 -0.0984
MIR509-2 -0.1435
MIR450B -0.1435
MIR890 -0.1435
MIR891B -0.1435
MIR888 -0.1435
MIR892B -0.1435
MIR541 -0.0445
MIR875 1.2645
MIR876 -0.4764
MIR147B -0.1554
MIR744 -0.1727
MIR877 0.1699
MIR665 -0.0445
MIR873 -0.4764
MIR374B -0.2272
MIR301B 0.9394
MIR216B -0.0722
MIR920 -1.2036
MIR922 0.4454
MIR934 -0.1435
MIR935 0.2005
MIR936 -0.459
MIR938 -0.1522
MIR940 -0.1449
MIR941-1 0.2325
MIR941-4 0.2325
MIR942 -0.0646
MIR943 -0.1526
MIR708 0.2796
MIR885 -0.1005
MIR543 -0.0445
MIR208B 0.4851
MIR509-3 -0.1435
MIR937 -0.2144
MIR941-2 0.2325
MIR944 0.5037
MIR891A -0.1435
MIR892A -0.1435
MIR874 -0.0984
MIR889 -0.0445
MIR190B 0.6203
MIR760 0.0404
MIR921 0.3973
MIR933 0.1982
MIR939 0.289
MIR941-3 0.2325
MIR365A -0.1449
MIR365B 0.1993
SNAR-G1 0.5968
SNAR-F 0.1704
LOC100126784 -0.4812
