SYMBOL HCC1143_BREAST
A1BG 0.029
NAT2 -0.7322
ADA 0.0624
CDH2 -0.1161
AKT3 -1.1966
GAGE12F -1.2158
LOC100009676 0.3009
MED6 0.1335
NR2E3 0.4563
NAALAD2 -0.7075
SNORD116-1 0.1109
SNORD116-2 0.1109
SNORD116-3 0.1109
SNORD116-4 0.1109
SNORD116-5 0.1109
SNORD116-6 0.1109
SNORD116-7 0.1109
SNORD116-8 0.1109
SNORD116-9 0.1109
SNORD116-10 0.1109
SNORD116-11 0.1109
SNORD116-12 0.1109
SNORD116-13 0.1109
SNORD116-14 0.1109
SNORD116-15 0.1109
SNORD116-16 0.1109
SNORD116-17 0.1109
SNORD116-18 0.1109
SNORD116-20 0.1109
SNORD116-21 0.1109
SNORD116-22 0.1109
SNORD116-23 0.1109
SNORD116-24 0.1109
SNORD116-25 0.1109
SNORD115-2 0.1109
SNORD116-26 0.1109
SNORD116-27 0.1109
SNORD115-3 0.1109
SNORD115-4 0.1109
SNORD115-5 0.1109
SNORD115-6 0.1109
SNORD115-7 0.1109
SNORD115-8 0.1109
SNORD115-9 0.1109
SNORD115-10 0.1109
SNORD115-11 0.1109
SNORD115-12 0.1109
SNORD115-13 0.1109
SNORD115-14 0.1109
SNORD115-15 0.1109
SNORD115-16 0.1109
SNORD115-17 0.1109
SNORD115-18 0.1109
SNORD115-19 0.1109
SNORD115-20 0.1109
SNORD115-21 0.1109
SNORD115-22 0.1109
SNORD115-23 0.1109
SNORD115-25 0.1109
SNORD115-26 0.1109
SNORD115-29 0.1109
SNORD115-30 0.1109
SNORD115-31 0.1109
SNORD115-32 0.1109
SNORD115-33 0.1109
SNORD115-34 0.1109
SNORD115-35 0.1109
SNORD115-36 0.1109
SNORD115-37 0.1109
SNORD115-38 0.1109
SNORD115-39 0.1109
SNORD115-40 0.1109
SNORD115-41 0.1109
SNORD115-42 0.1109
SNORD115-43 0.1109
SNORD115-44 0.1109
MIR675 -0.2461
SNORD116-28 0.1109
SNORD116-29 0.1109
SNORD115-48 0.1109
SNORD115-24 0.1109
SNORD115-27 0.1109
SNORD115-28 0.1109
SNORD115-45 0.1109
SNORD115-47 0.1109
DDTL 0.7641
TLX1NB -0.2343
NAALADL1 0.0756
CDKN2B-AS1 -1.6165
GUSBP9 0.2395
SIGLEC14 0.4973
ACOT8 0.0825
ABI1 0.9346
GNPDA1 0.2271
MIMT1 0.029
KCNE3 -0.1563
ZBTB33 1.0979
SNHG8 -0.7487
LOC100093698 -1.3049
CDH3 -0.1906
TANK -0.0585
HAVCR1P1 0.0701
POM121C -0.7581
ZSCAN30 -0.1161
PSIMCT-1 1.4925
GAGE8 -1.2158
ANKRD26P3 -0.2175
SRA1 0.2271
SNORD119 0.6849
SNORD121A -0.1419
SNORD125 0.6048
SNORD19B -0.7193
SNORD105B -0.3103
SNORD123 0.8742
SNORD121B -0.1419
