SYMBOL HCC1395_BREAST power
A1BG -0.4419 0.736164456347402
NAT2 -0.3732 0.772068094308039
ADA 0.5764 1.49112375678218
CDH2 0.6477 1.56666856045569
AKT3 0.1941 1.14401026720478
GAGE12F -0.5744 0.671565489555551
LOC100009676 -0.2915 0.817052110729759
MED6 -0.4701 0.721914556723018
NR2E3 0.3743 1.29621047680193
NAALAD2 -0.3389 0.790643917964908
SNORD116-1 -0.4385 0.737901421375547
SNORD116-2 -0.4385 0.737901421375547
SNORD116-3 -0.4385 0.737901421375547
SNORD116-4 -0.4385 0.737901421375547
SNORD116-5 -0.4385 0.737901421375547
SNORD116-6 -0.4385 0.737901421375547
SNORD116-7 -0.4385 0.737901421375547
SNORD116-8 -0.4385 0.737901421375547
SNORD116-9 -0.4385 0.737901421375547
SNORD116-10 -0.4385 0.737901421375547
SNORD116-11 -0.4385 0.737901421375547
SNORD116-12 -0.4385 0.737901421375547
SNORD116-13 -0.4385 0.737901421375547
SNORD116-14 -0.4385 0.737901421375547
SNORD116-15 -0.4385 0.737901421375547
SNORD116-16 -0.4385 0.737901421375547
SNORD116-17 -0.4385 0.737901421375547
SNORD116-18 -0.4385 0.737901421375547
SNORD116-20 -0.4385 0.737901421375547
SNORD116-21 -0.4385 0.737901421375547
SNORD116-22 -0.4385 0.737901421375547
SNORD116-23 -0.4385 0.737901421375547
SNORD116-24 -0.4385 0.737901421375547
SNORD116-25 -0.4385 0.737901421375547
SNORD115-2 -0.4385 0.737901421375547
SNORD116-26 -0.4385 0.737901421375547
SNORD116-27 -0.4385 0.737901421375547
SNORD115-3 -0.4385 0.737901421375547
SNORD115-4 -0.4385 0.737901421375547
SNORD115-5 -0.4385 0.737901421375547
SNORD115-6 -0.4385 0.737901421375547
SNORD115-7 -0.4385 0.737901421375547
SNORD115-8 -0.4385 0.737901421375547
SNORD115-9 -0.4385 0.737901421375547
SNORD115-10 -0.4385 0.737901421375547
SNORD115-11 -0.4385 0.737901421375547
SNORD115-12 -0.4385 0.737901421375547
SNORD115-13 -0.4385 0.737901421375547
SNORD115-14 -0.4385 0.737901421375547
SNORD115-15 -0.4385 0.737901421375547
SNORD115-16 -0.4385 0.737901421375547
SNORD115-17 -0.4385 0.737901421375547
SNORD115-18 -0.4385 0.737901421375547
SNORD115-19 -0.4385 0.737901421375547
SNORD115-20 -0.4385 0.737901421375547
SNORD115-21 -0.4385 0.737901421375547
SNORD115-22 -0.4385 0.737901421375547
SNORD115-23 -0.4385 0.737901421375547
SNORD115-25 -0.4385 0.737901421375547
SNORD115-26 -0.4385 0.737901421375547
SNORD115-29 -0.4385 0.737901421375547
SNORD115-30 -0.4385 0.737901421375547
SNORD115-31 -0.4385 0.737901421375547
SNORD115-32 -0.4385 0.737901421375547
SNORD115-33 -0.4385 0.737901421375547
SNORD115-34 -0.4385 0.737901421375547
SNORD115-35 -0.4385 0.737901421375547
SNORD115-36 -0.4385 0.737901421375547
SNORD115-37 -0.4385 0.737901421375547
