SYMBOL COLO829_SKIN power
A1BG -0.0132 0.990892186916976
NAT2 0.1737 1.12794756296623
ADA 0.3857 1.30649354794857
CDH2 0.0042 1.00291545986912
AKT3 0.3195 1.24789798546328
GAGE12F 0.0182 1.01269518698262
LOC100009676 0.3637 1.28672165323409
MED6 -0.0193 0.986711343695511
NR2E3 -0.5658 0.675580691146685
NAALAD2 -0.0789 0.946779254699453
SNORD116-1 -0.5211 0.696840316379641
SNORD116-2 -0.5211 0.696840316379641
SNORD116-3 -0.5211 0.696840316379641
SNORD116-4 -0.5211 0.696840316379641
SNORD116-5 -0.5211 0.696840316379641
SNORD116-6 -0.5211 0.696840316379641
SNORD116-7 -0.5211 0.696840316379641
SNORD116-8 -0.5211 0.696840316379641
SNORD116-9 -0.5211 0.696840316379641
SNORD116-10 -0.5211 0.696840316379641
SNORD116-11 -0.5211 0.696840316379641
SNORD116-12 -0.5211 0.696840316379641
SNORD116-13 -0.5211 0.696840316379641
SNORD116-14 -0.5211 0.696840316379641
SNORD116-15 -0.5211 0.696840316379641
SNORD116-16 -0.5211 0.696840316379641
SNORD116-17 -0.5211 0.696840316379641
SNORD116-18 -0.5211 0.696840316379641
SNORD116-20 -0.5211 0.696840316379641
SNORD116-21 -0.5211 0.696840316379641
SNORD116-22 -0.5211 0.696840316379641
SNORD116-23 -0.5211 0.696840316379641
SNORD116-24 -0.5211 0.696840316379641
SNORD116-25 -0.5211 0.696840316379641
SNORD115-2 -0.5211 0.696840316379641
SNORD116-26 -0.5211 0.696840316379641
SNORD116-27 -0.5211 0.696840316379641
SNORD115-3 -0.5211 0.696840316379641
SNORD115-4 -0.5211 0.696840316379641
SNORD115-5 -0.5211 0.696840316379641
SNORD115-6 -0.5211 0.696840316379641
SNORD115-7 -0.5211 0.696840316379641
SNORD115-8 -0.5211 0.696840316379641
SNORD115-9 -0.5211 0.696840316379641
SNORD115-10 -0.5211 0.696840316379641
SNORD115-11 -0.5211 0.696840316379641
SNORD115-12 -0.5211 0.696840316379641
SNORD115-13 -0.5211 0.696840316379641
SNORD115-14 -0.5211 0.696840316379641
SNORD115-15 -0.5211 0.696840316379641
SNORD115-16 -0.5211 0.696840316379641
SNORD115-17 -0.5211 0.696840316379641
SNORD115-18 -0.5211 0.696840316379641
SNORD115-19 -0.5211 0.696840316379641
SNORD115-20 -0.5211 0.696840316379641
SNORD115-21 -0.5211 0.696840316379641
SNORD115-22 -0.5211 0.696840316379641
SNORD115-23 -0.5211 0.696840316379641
SNORD115-25 -0.5211 0.696840316379641
SNORD115-26 -0.5211 0.696840316379641
SNORD115-29 -0.5211 0.696840316379641
SNORD115-30 -0.5211 0.696840316379641
SNORD115-31 -0.5211 0.696840316379641
SNORD115-32 -0.5211 0.696840316379641
SNORD115-33 -0.5211 0.696840316379641
